name,url,price_text,review_score_text,recommended_unit_text
Evilion hotel,https://www.booking.com/hotel/gr/evilion-stalos.en-gb.html,,Scored 9.1 9.1 Superb 469 reviews,
Anniko,https://www.booking.com/hotel/gr/anniko.en-gb.html,,Scored 9.0 9.0 Superb 225 reviews,
CHRISTINE SEASIDE APARTMENTS IN CHANIA,https://www.booking.com/hotel/gr/christine-seaside-apartments-in-chania.en-gb.html,,Scored 9.4 9.4 Superb 75 reviews,
The Mini Beach Hotel,https://www.booking.com/hotel/gr/marakas.en-gb.html,,Scored 9.6 9.6 Exceptional 171 reviews,
Kato Stalos Beach,https://www.booking.com/hotel/gr/kato-stalos-beach.en-gb.html,,Scored 9.0 9.0 Superb 366 reviews,
Cozy Corner VS Beachfront,https://www.booking.com/hotel/gr/cozy-corner-beachfront.en-gb.html,,Scored 9.1 9.1 Superb 280 reviews,
Kristall Suites,https://www.booking.com/hotel/gr/kristall-suites-stalos-chania.en-gb.html,,Scored 9.8 9.8 Exceptional 117 reviews,
Eliros Studios,https://www.booking.com/hotel/gr/eliros-studios.en-gb.html,,Scored 9.4 9.4 Superb 187 reviews,
"Thelèsi Apartments, 100m from the beach",https://www.booking.com/hotel/gr/thelesi-apartments.en-gb.html,,Scored 9.6 9.6 Exceptional 228 reviews,
Artemis Apartments,https://www.booking.com/hotel/gr/artemis-apartments-chania.en-gb.html,,Scored 9.1 9.1 Superb 508 reviews,
Giannarakis Beach,https://www.booking.com/hotel/gr/giannarakis-beach-stalos.en-gb.html,,Scored 9.0 9.0 Superb 284 reviews,
Ilios Village,https://www.booking.com/hotel/gr/ilios-village.en-gb.html,,Scored 9.6 9.6 Exceptional 166 reviews,
Aristos Apartments & Suites,https://www.booking.com/hotel/gr/aristos-luxury-suites-and-studios.en-gb.html,,Scored 9.5 9.5 Exceptional 81 reviews,
Pentari,https://www.booking.com/hotel/gr/pentari-rooms-stalos-chania.en-gb.html,,Scored 8.6 8.6 Fabulous 245 reviews,
Gregory Village Sea View,https://www.booking.com/hotel/gr/gregory-village-sea-view.en-gb.html,,Scored 7.9 7.9 Good 531 reviews,
Romantic Corner Maisonette houses,https://www.booking.com/hotel/gr/romantic-corner-apartments.en-gb.html,,Scored 9.5 9.5 Exceptional 103 reviews,
Gianthea Studios and Apt,https://www.booking.com/hotel/gr/gianthea-studios-amp-apt.en-gb.html,,Scored 9.4 9.4 Superb 100 reviews,
Kato Stalos Mare,https://www.booking.com/hotel/gr/kato-stalos-mare.en-gb.html,,Scored 8.1 8.1 Very good 105 reviews,
Villa Stafidaki,https://www.booking.com/hotel/gr/villa-rhododendri.en-gb.html,,Scored 9.4 9.4 Superb 25 reviews,
Egli,https://www.booking.com/hotel/gr/egli-studios.en-gb.html,,Scored 8.1 8.1 Very good 200 reviews,
Casa Leone Suites,https://www.booking.com/hotel/gr/casa-leone-suites.en-gb.html,,Scored 9.4 9.4 Superb 62 reviews,
Nautilus house,https://www.booking.com/hotel/gr/nautilus-house.en-gb.html,,Scored 10 10 Exceptional 11 reviews,
Creta Palm Resort Hotel & Apartments,https://www.booking.com/hotel/gr/creta-palm.en-gb.html,,Scored 8.2 8.2 Very good 311 reviews,
Livadia Studios,https://www.booking.com/hotel/gr/livadia-studios.en-gb.html,,Scored 8.8 8.8 Fabulous 98 reviews,
Selini Villas with private pool 10 minutes walking from the beach,https://www.booking.com/hotel/gr/selini-villas-with-private-pool-10-minutes-walking-from-the-beach-khania.en-gb.html,,Scored 9.3 9.3 Superb 4 reviews,
"Yucca Studio, beautiful apartment with garden",https://www.booking.com/hotel/gr/yucca-studio-beautiful-apartment-with-garden.en-gb.html,,Scored 9.8 9.8 Exceptional 8 reviews,
Eleni Residence by the sea,https://www.booking.com/hotel/gr/villa-eleni-renovated-100m-from-the-sea.en-gb.html,,Scored 9.6 9.6 Exceptional 13 reviews,
Micro_Ble vacation home,https://www.booking.com/hotel/gr/micro-ble-vacation-home.en-gb.html,,Scored 10 10 Exceptional 9 reviews,
My Grandparents' Home,https://www.booking.com/hotel/gr/my-grandparents-home.en-gb.html,,Scored 9.6 9.6 Exceptional 12 reviews,
Villa Anthira,https://www.booking.com/hotel/gr/villa-anthira.en-gb.html,,Scored 9.8 9.8 Exceptional 6 reviews,
"Stone Built Private villa Emerald with pool, 30m to Beach & BBQ!",https://www.booking.com/hotel/gr/emerald-kamisiana.en-gb.html,,Scored 10 10 Exceptional 1 review,
Searenity Home,https://www.booking.com/hotel/gr/searenity-house.en-gb.html,,Scored 9.2 9.2 Superb 12 reviews,
Creta Galini House,https://www.booking.com/hotel/gr/creta-galini-house.en-gb.html,,Scored 9.6 9.6 Exceptional 31 reviews,
Villa Albama,https://www.booking.com/hotel/gr/villa-albama.en-gb.html,,Scored 8.8 8.8 Fabulous 14 reviews,
Theo Villas With Sea View,https://www.booking.com/hotel/gr/theo-villas.en-gb.html,,Scored 9.7 9.7 Exceptional 68 reviews,
King Crimson Luxury Apartments,https://www.booking.com/hotel/gr/king-crimson-luxury-apartments.en-gb.html,,Scored 9.0 9.0 Superb 37 reviews,
